# STM32CubeMX 6.18.1-RC2 Chinese overlay dictionary.
# Format: English<TAB>Chinese. Matching is exact and case-sensitive.
Window	窗口
Line	产品线
Marketing Status	市场状态
Price	价格
Package	封装
Core	内核
Coprocessor	协处理器
MEMORY	存储器
DRAM Support	DRAM 支持
Flash Support	Flash 支持
Dual Bank Flash	双 Bank Flash
TIMER	定时器
Timer Function	定时器功能
ANALOG	模拟
COMMUNICATION INTERFACE	通信接口
USB INTERFACE	USB 接口
EXTERNAL MEMORY INTERFACE	外部存储器接口
External Memory Interface	外部存储器接口
OTHER INTERFACE	其他接口
Additional Interface	附加接口
GRAPHICS	图形
Display Controller	显示控制器
Graphic Accelerator	图形加速器
SECURITY	安全
Cryptography	加密
Security Function	安全功能
OTHER PERIPHERAL	其他外设
MIDDLEWARE	中间件
PHYSICAL	物理特性
Peripheral	外设
Features	特性
FEATURES	特性
Embedded Sensor	板载传感器
User Button	用户按钮
Camera	摄像头
Connector	连接器
Memory Card	存储卡
Display	显示
Joystick	操纵杆
Audio Line Input	音频线路输入
Audio Line Output	音频线路输出
Audio Processor	音频处理器
Microphone	麦克风
Potentiometer	电位器
Power Supply	电源
Speaker	扬声器
Touch Feature	触摸功能
USB Port	USB 端口
Debug Connector	调试连接器
Wireless Interface	无线接口
Other on-board Feature	其他板载功能
Block Diagram	框图
CAD Resources	CAD 资源
Datasheet	数据手册
Buy	购买
Start Project	创建工程
Commercial Part No	商用料号
Part No	料号
Reference	参考型号
New Project	新建工程
File	文件
New Project ...	新建工程...
Create a New Project	创建新工程
Load Project ...	加载工程...
Load a Project	加载工程
Import Project ...	导入工程...
Import Project	导入工程
Import Project Settings	导入工程设置
Import project: available for new Project without compound pins	导入工程：仅适用于不含复合引脚的新工程
Pin to pin compatibility	引脚兼容性
Save Project	保存工程
Save the current Project	保存当前工程
Save Project As ..	工程另存为...
Save Project As	工程另存为
Save the Project in a new file	将工程保存到新文件
Close Project	关闭工程
Close current Project	关闭当前工程
Generate Report	生成报告
Generate Project report files (pdf and txt)	生成工程报告文件（PDF 和 TXT）
Recent Projects	最近工程
Exit	退出
Exit STM32CubeMX	退出 STM32CubeMX
Compare existing IOC with current project configuration	将现有 IOC 与当前工程配置进行比较
Compare Project ...	比较工程...
Compare Projects	比较工程
Project 1	工程 1
Project 2	工程 2
Select an existing project	选择现有工程
Use current project	使用当前工程
Show differences only	仅显示差异
Load project 1 then try again	请加载工程 1 后重试
Project 1 not loaded	工程 1 未加载
Load project 2 then try again	请加载工程 2 后重试
Project 2 not loaded	工程 2 未加载
It's the same project as project 2.Please load another project.	该工程与工程 2 相同，请加载其他工程。
It's the same project as project 1.Please load another project.	该工程与工程 1 相同，请加载其他工程。
Same projects loaded	已加载相同工程
Load projects then try again	请加载工程后重试
Projects not loaded	工程未加载
Project not found	未找到工程
Target	目标
Peripherals & Middleware	外设与中间件
Excel files	Excel 文件
This file already exists, overwrite it?	该文件已存在，是否覆盖？
Failed to create Compare Projects file	创建工程比较文件失败
Compare Projects ProgressBar	工程比较进度
Comparison in progress	正在比较
Comparison in progress ...	正在比较...
Untitled	未命名
Project	工程
Generate Code	生成代码
Generate source code based on user settings	根据用户设置生成源代码
Select additional software components	选择其他软件组件
Add Pack Software components to the Project	向工程添加软件包组件
Settings ...	设置...
Settings for software Project	软件工程设置
Project Settings	工程设置
Warning: Save Project As	警告：工程另存为
Imported Project	已导入工程
Import MX Settings	导入 MX 设置
Check Update Manager	检查更新管理器
Pinout & Configuration	引脚与配置
Clock Configuration	时钟配置
Middleware and Software Packs	中间件与软件包
System Core	系统核心
Connectivity	连接
Multimedia	多媒体
Computing	计算
Analog	模拟
Timers	定时器
Software Packs	软件包
Programmable logic array (PLAY)	可编程逻辑阵列（PLAY）
Categories	类别
Search	搜索
Search Results	搜索结果
Configuration	配置
Parameter Settings	参数设置
User Label	用户标签
Reset State	复位状态
GPIO Settings	GPIO 设置
NVIC Settings	NVIC 设置
DMA Settings	DMA 设置
Mode	模式
Name	名称
Value	值
Description	说明
Status	状态
Enabled	已启用
Disabled	已禁用
Enable	启用
Disable	禁用
Add	添加
Remove	移除
Edit	编辑
Delete	删除
Clear	清除
Reset	重置
Restore	恢复
Apply	应用
Browse	浏览
Open	打开
Close	关闭
Save	保存
Download	下载
Export	导出
Update	更新
Refresh	刷新
Check for Updates	检查更新
Back	上一步
Next	下一步
Finish	完成
Cancel	取消
OK	确定
Ok	确定
Yes	是
No	否
YES	是
NO	否
Retry	重试
Ignore	忽略
Details	详细信息
Advanced Settings	高级设置
Code Generator	代码生成器
Working	处理中
Loading...	正在加载...
Please wait...	请稍候...
Project Name	工程名称
Project Location	工程位置
Application Structure	应用结构
Do not generate the main()	不生成 main()
Toolchain Folder Location	工具链文件夹位置
Toolchain / IDE	工具链 / IDE
Min Version	最低版本
Generate Under Root	在根目录下生成
Linker Settings	链接器设置
Minimum Heap Size	最小堆大小
Minimum Stack Size	最小栈大小
Thread-safe Settings	线程安全设置
Enable multi-threaded support	启用多线程支持
Thread-safe Locking Strategy	线程安全锁策略
Mcu and Firmware Package	MCU 与固件包
Mcu Reference	MCU 参考型号
Firmware Package Name and Version	固件包名称和版本
Use latest available version	使用最新可用版本
Use Default Firmware Location	使用默认固件位置
Firmware Relative Path	固件相对路径
STM32Cube MCU packages and embedded software packs	STM32Cube MCU 软件包和嵌入式软件包
Copy all used libraries into the project folder	将所有使用的库复制到工程文件夹
Copy only the necessary library files	仅复制必要的库文件
Add necessary library files as reference in the toolchain project configuration file	在工具链工程配置文件中引用必要的库文件
Generated files	生成的文件
Generate peripheral initialization as a pair of '.c/.h' files per peripheral	为每个外设生成一对“.c/.h”初始化文件
Backup previously generated files when re-generating	重新生成时备份之前生成的文件
Keep User Code when re-generating	重新生成时保留用户代码
Delete previously generated files when not re-generated	删除未重新生成的旧文件
HAL Settings	HAL 设置
Set all free pins as analog (to optimize the power consumption)	将所有空闲引脚设置为模拟模式（以优化功耗）
Enable Full Assert	启用完整断言
User Actions	用户操作
Before Code Generation	代码生成前
After Code Generation	代码生成后
Template Settings	模板设置
Select a template to generate customized code	选择模板以生成自定义代码
Settings...	设置...
Driver Selector	驱动选择器
Search (Ctrl+F)	搜索（Ctrl+F）
Register CallBack	注册回调
Generated Function Calls	生成的函数调用
Rank	顺序
Function Name	函数名称
Peripheral Instance	外设实例
Do Not Generate Function Call	不生成函数调用
Visibility (Static)	可见性（Static）
